product, price, location, date
TaylorMade Spider X putter,$275, (west l.a. / santa monica),Dec  8
Robert Allen Bedford arm chairs,$499, (Calabasas),Dec  8
Mid Century Hanging Lamp by Modeline,$1450, (Canoga Park),Dec  8
2020 specialized turbo levo ebike Large,$4800, (Tujunga),Dec  8
Amethyst Cathedral Geode Tower,$699, (Los angeles),Dec  8
SONY KDL-48W600B 48" Full HD Multisystem LED TV EXCELLENT CONDITION,$300, (Beverly Hills),Dec  8
2017 Ford C-Max passenger side headlight,$199, (south gate),Dec  8
Canon 5DmkIII Kit (3 Lenses Flash etc.),$2250, (North Hollywood),Dec  8
White Flower Wedding Dress with Attachable Train and Short Veil etc,$300, (Rancho Palos Verdes),Dec  8
Hollywood Regency French Club Chairs,$950, (Canoga Park),Dec  8
JVC FS-T100 ULTRA COMPACT COMPONENT STEREO SYSTEM,$30, (Burbank),Dec  8
Black car caddy seat gap organizer,$15,NA,Dec  8
Sound healing meditation bowl chakra clearing,$222,NA,Dec  8
2017 Dodge Challenger rear bumper,$299, (south gate),Dec  8
BlueRidge Historic BR 163 w/ deluxe case,$899,NA,Dec  8
Oleg Cassini Champagne Strapless Wedding Dress Size 6,$400, (Rancho Palos Verdes),Dec  8
1998 Ford arranger XLT work truck,$2000, (Canoga Park),Dec  8
Prius Hybrid Battery Repair,$350, (North Hollywood),Dec  8
Placecard Holder & Flower Vase,$5, (Sun Valley),Dec  8
Designer Shoes,$150,NA,Dec  8
New uncut graphite golf shafts,$0, (West L.A. / Santa Monica),Dec  8
Focusrite vrm box virtual reference monitoring,$99, (Los angeles),Dec  8
2018 Ford Fiesta front bumper and upper grill,$399, (south gate),Dec  8
Mobile office for sale,$50000, (South Gate),Dec  8
Antique Royal Daulton China 24 pieces,$49, (Calabasas),Dec  8
18k/steel stamped Gevril Swiss automatic fits 8’ wrist,$1000, (Northridge),Dec  8
18k/steel stamped Gevril Swiss automatic fits 8’ wrist,$1000, (Northridge),Dec  8
Futon (courch/sofa) that opens to a bed and more,$0, (FOUNTAIN VALLEY),Dec  8
Various designer gold and silver rings,$222,NA,Dec  8
Gas Range Samsung Stove New,$980, (Oc),Dec  8
2019 GMC Terrain Grill,$159, (south gate),Dec  8
2006 Toyota Prius Navigation confirm relay,$50, (West L.A. / Santa Monica),Dec  8
3 Boxes Libbey Wine Goblet Glasses,$15, (Rancho Palos Verdes),Dec  8
Putter Collection,$300,NA,Dec  8
MAYTAG GAS DRYER HEAVY DUTY SUPER CAPACITY,$165, (NORTHRIDGE),Dec  8
Igloo marine cooler,$0,NA,Dec  8
2018 Tesla Model 3 cooling fans,$229, (south gate),Dec  8
New golf hat cap,$10, (West L.A. / Santa Monica),Dec  8
Vintage Shumate St.Louis Straight Razor Made In USA 1007638,$75, (Santa Clarita),Dec  8
12" Aztec obsidian forged knife,$59, (Hidden Hills),Dec  8
Round glass table top white stand,$100,NA,Dec  8
Quicksilver Size 14 WetSuit,$40, (Santa Clarita),Dec  8
2020 GMC Terrain passenger inner tail lamp,$89, (south gate),Dec  8
Aqua Seal Wetsuit Size 10 Junior,$30, (Santa Clarita),Dec  8
1930's vintage walnut bar cabinet,$925, (10950 tuxford st sun valley CA),Dec  8
Dyson Ball Multifloor 2 Upright Vacuum,$220, (Santa Monica),Dec  8
2 cut glass vases,$29, (Hidden Hills),Dec  8
2008 Chevrolet Tahoe LTZ,$15000, (East Whittier),Dec  8
Coffee table trays 27" circumference,$19, (Hidden Hills),Dec  8
2016 Mercedes C63-S AMG Passenger Side Taillight Lamp,$169, (south gate),Dec  8
New NHL Anaheim Ducks Clear Transparent Backpack,$28, (Santa Monica),Dec  8
Keurig K-Mini Single Serve Coffee Maker (black),$60, (Palms),Dec  8
Toshiba SD-4000KU2 DVD VIDEO Player,$35, (Santa Monica),Dec  8
Antique Eibar El Casco Espana Pencil Sharpener,$59, (Santa Clarita),Dec  8
2018 Chevy Equinox Grill,$159, (south gate),Dec  8
Wanted iphone 8 in like new condition.,$0, (Los Angeles),Dec  8
Superga 2750 COTU Classic Sneaker Grey Sage,$45, (Palms),Dec  8
Small Shots Glass Set Pitcher and 6 Shots,$35, (Santa Monica),Dec  8
Ray Ban RB3025 Aviator Classic,$119, (Santa Clarita),Dec  8
Chair leather Tobacco Brown Chesterfield Lounge Chair!,$975, (Beverly Hills but free delivery),Dec  8
Vince black leather sandals size 6,$110, (Palms),Dec  8
Henpone smart phone watch band,$20,NA,Dec  8
2015 Nissan Altima pair of turn signal,$59, (south gate),Dec  8
Classic style sweater by Ralph Lauren,$50, (Palms),Dec  8
Used Michelin P255/70R18 Tire,$20, (Santa Clarita),Dec  8
Spirithoods furry Gazelle Collector Edition,$250, (Los angeles),Dec  8
Gray BONA ankle wrist fitness resistance weight neoprene strap,$20,NA,Dec  8
6 Boxes Libbey Champagne Flute Glasses,$25, (Rancho Palos Verdes),Dec  8
White sweater with buttons by Solosix,$100, (Palms),Dec  8
Small cooler,$0,NA,Dec  8
Yamaha 32 key Xylophone Percussion student set 1007707,$199, (Santa Clarita),Dec  8
Adidas golf shoes size 9,$9, (Hidden Hills),Dec  8
kitchen appliances,$0, (FOUNTAIN VALLEY),Dec  8
Boho grey sweater by Line,$120, (Palms),Dec  8
Lesal Hand Painted Heart Shaped Floral Covered Bowl,$50, (Rancho Palos Verdes),Dec  8
Black sweater with large button by Willow,$60, (Palms),Dec  8
Ladies 0.72 Carat 14k halo oval diamond engagement ring by Neil Lane,$2200, (Santa Clarita),Dec  8
2017 Ford Transit Connect driver side rocker molding,$89, (south gate),Dec  8
Pink cotton sweater by Rebecca Taylor,$80, (Palms),Dec  8
Vintage Automatic 250 Land Camera 1004749,$125, (Santa Clarita),Dec  8
Lesal Colorful Hand Crafted Ceramic Heart Shaped Bowl,$50, (Rancho Palos Verdes),Dec  8
Solder iron,$0,NA,Dec  8
Grey designer sweater with lambskin pockets,$100, (Palms),Dec  8
2018 Nissan kicks Grill,$159, (south gate),Dec  8
Conair Moisturizing Mist Facial Sauna with Timer Facial Steamer,$15, (Sherman oaks),Dec  8
